                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.70383,                  2.746,                0.21559,                0.51886,                0.89327,                0.95197,                0.99141,                0.99024,                0.72415,                0.67809,                   0.45,                0.50406,                0.09652,                0.86831,                  4.747,                0.15774,                0.56347,                 1.0908,               0.001307,               0.001307,               0.001307
                     38,                0.77395,                 2.9576,                0.21338,                0.54762,                 0.9169,                0.90413,                0.94338,                0.92905,                 0.7197,                 0.4806,                   0.35,                0.25667,                0.03876,                0.87299,                 5.2435,                0.16525,                0.58243,                 1.0632,              0.0012872,              0.0012872,              0.0012872
                     39,                0.76667,                 2.6944,                 0.2164,                 0.5403,                0.90873,                0.89248,                   0.95,                0.90209,                0.68416,                0.33185,                   0.35,                0.17393,                0.02738,                0.94884,                 5.1329,                0.17821,                0.63269,                 1.1113,              0.0012674,              0.0012674,              0.0012674
                     40,                0.73631,                 2.5572,                0.21091,                0.51256,                0.90226,                0.91538,                      1,                0.97833,                0.73441,                0.23147,                   0.25,                0.07474,                0.01042,                0.77133,                   5.38,                0.20261,                0.57501,                 1.0703,              0.0012476,              0.0012476,              0.0012476
                     41,                0.72962,                 2.6881,                0.19919,                0.50865,                0.90189,                0.92068,                      1,                0.97357,                0.71291,                0.33279,                   0.35,                0.20562,                0.02408,                0.89747,                 5.4535,                0.20411,                0.61111,                 1.0832,              0.0012278,              0.0012278,              0.0012278
                     42,                0.73765,                 2.6374,                0.20192,                0.52237,                0.90845,                0.89928,                      1,                0.96222,                0.70433,                0.17969,                    0.2,                0.06828,                0.00952,                0.86604,                 5.5375,                0.22383,                0.61874,                 1.0815,               0.001208,               0.001208,               0.001208
                     43,                0.74989,                 2.6659,                0.20291,                0.52528,                0.90818,                0.88936,                      1,                0.98071,                0.71075,                 0.4782,                0.41294,                0.34357,                0.05507,                0.91892,                  5.047,                0.18858,                0.66111,                 1.1064,              0.0011882,              0.0011882,              0.0011882
                     44,                0.70159,                 2.5674,                 0.1994,                0.50954,                0.90697,                 0.9085,                0.99318,                0.98295,                0.72811,                 0.6567,                    0.5,                0.50971,                0.13328,                0.83693,                 4.5171,                0.13665,                0.54765,                 1.0518,              0.0011684,              0.0011684,              0.0011684
                     45,                0.70722,                 2.6144,                0.20897,                0.50216,                0.90885,                0.93767,                      1,                 0.9831,                0.71427,                0.75591,                    0.5,                0.56417,                0.16647,                0.88096,                 4.5474,                0.12914,                0.56603,                 1.0373,              0.0011486,              0.0011486,              0.0011486
                     46,                0.66568,                 2.4486,                0.18889,                0.47589,                0.87689,                  0.869,                      1,                0.98065,                0.75669,                0.80825,                   0.55,                0.56127,                0.13295,                0.88695,                 4.5964,                0.14211,                0.63063,                 1.0752,              0.0011288,              0.0011288,              0.0011288
                     47,                0.64456,                 2.2702,                0.19917,                 0.4757,                0.88314,                0.84862,                   0.95,                 0.8951,                0.71739,                0.67041,                   0.55,                0.47339,                0.10182,                0.87229,                 4.7021,                0.15027,                0.59359,                 1.0679,               0.001109,               0.001109,               0.001109
                     48,                0.66947,                 2.4691,                0.21849,                 0.4781,                0.88793,                0.91508,                      1,                0.98071,                0.71574,                0.63519,                   0.55,                0.51147,                0.08859,                0.80588,                 4.8311,                0.15624,                0.55532,                 1.0501,              0.0010892,              0.0010892,              0.0010892
                     49,                0.70723,                 2.4278,                0.19715,                0.49873,                0.90395,                0.90975,                      1,                0.98071,                 0.6967,                0.69792,                   0.65,                0.63952,                0.14984,                0.81705,                 4.4987,                0.14421,                0.59678,                 1.0347,              0.0010694,              0.0010694,              0.0010694
                     50,                0.67229,                 2.4577,                0.19879,                0.50002,                0.88884,                0.90876,                      1,                  0.995,                0.67854,                0.75998,                   0.75,                0.75131,                0.17445,                0.90013,                 4.3563,                 0.1306,                0.68138,                 1.0856,              0.0010496,              0.0010496,              0.0010496
                     51,                0.69525,                 2.5137,                0.18969,                0.49141,                0.88511,                0.90907,                      1,                0.99262,                 0.7072,                0.80405,                    0.7,                0.70594,                0.18511,                0.86021,                 4.4751,                0.14104,                0.56928,                 1.0565,              0.0010298,              0.0010298,              0.0010298
                     52,                0.66726,                 2.4722,                0.20466,                0.48357,                0.88562,                0.90412,                      1,                0.99024,                0.73196,                0.82477,                   0.65,                0.65076,                0.16099,                0.87711,                 4.3998,                0.14986,                0.63099,                 1.0447,                0.00101,                0.00101,                0.00101
                     53,                0.61901,                 2.2534,                0.18885,                0.45994,                0.86656,                0.90461,                      1,                0.98795,                0.73765,                0.85015,                   0.65,                0.64724,                0.12738,                0.80399,                  4.563,                0.14527,                0.60513,                  1.011,              0.0009902,              0.0009902,              0.0009902
                     54,                0.63551,                 2.2636,                0.18374,                0.46328,                0.87513,                0.85737,                   0.95,                0.91709,                0.73433,                0.76639,                    0.6,                 0.5346,                 0.1267,                0.89976,                 4.5061,                 0.1452,                0.58341,                  1.066,              0.0009704,              0.0009704,              0.0009704
